"species","kingdom","phylum","class","order"
"Sylvia curruca","Animalia","Chordata","Aves","Passeriformes"
"Pernis apivorus","Animalia","Chordata","Aves","Accipitriformes"
"Asio flammeus","Animalia","Chordata","Aves","Strigiformes"
"Bombus terrestris","Animalia","Arthropoda","Insecta","Hymenoptera"
"Numenius phaeopus","Animalia","Chordata","Aves","Charadriiformes"
"Accipiter nisus","Animalia","Chordata","Aves","Accipitriformes"
"Dryas octopetala","Plantae",NA,"Magnoliopsida","Rosales"
"Caprimulgus europaeus","Animalia","Chordata","Aves","Caprimulgiformes"
"Geranium palustre","Plantae","Streptophyta","Magnoliopsida","Geraniales"
"Melilotus albus","Plantae",NA,"Magnoliopsida","Fabales"
"Festuca pratensis","Plantae","Streptophyta","Magnoliopsida","Poales"
"Paris quadrifolia","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Potentilla erecta","Plantae",NA,"Magnoliopsida","Rosales"
"Stachys officinalis","Plantae",NA,"Magnoliopsida","Lamiales"
"Limenitis populi","Animalia","Arthropoda","Insecta","Lepidoptera"
"Euonymus verrucosus","Plantae","Streptophyta","Magnoliopsida","Celastrales"
"Melilotus officinalis","Plantae",NA,"Magnoliopsida","Fabales"
"Nymphaea alba","Plantae",NA,"Magnoliopsida","Nymphaeales"
"Polygonum bistorta","Plantae","Streptophyta","Magnoliopsida","Caryophyllales"
"Salix fragilis","Plantae",NA,"Magnoliopsida","Malpighiales"
"Genista tinctoria","Plantae",NA,"Magnoliopsida","Fabales"
"Alchemilla sibirica",NA,NA,NA,NA
"Zabelia corymbosa","Plantae","Streptophyta","Magnoliopsida","Dipsacales"
"Allium caesium","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Galium aparine","Plantae",NA,"Magnoliopsida","Gentianales"
"Brachypodium sylvaticum","Plantae",NA,"Magnoliopsida","Poales"
"Crataegus pseudoheterophylla","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Arum korolkowii","Plantae","Streptophyta","Magnoliopsida","Alismatales"
"Corydalis ledebouriana","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Inula helenium","Plantae",NA,"Magnoliopsida","Asterales"
"Iris ruthenica","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Ferula tenuisecta","Plantae","Streptophyta","Magnoliopsida","Apiales"
"Prunus armeniaca","Plantae",NA,"Magnoliopsida","Rosales"
"Exochorda tianshanica",NA,NA,NA,NA
"Melissa officinalis","Plantae",NA,"Magnoliopsida","Lamiales"
"Pistacia vera","Plantae",NA,"Magnoliopsida","Sapindales"
"Prunus mahaleb","Plantae",NA,"Magnoliopsida","Rosales"
"Salvia deserta","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Betula tianschanica","Plantae","Streptophyta","Magnoliopsida","Fagales"
"Crocus alatavicus","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Celtis caucasica","Plantae",NA,"Magnoliopsida","Rosales"
"Malva sylvestris","Plantae",NA,"Magnoliopsida","Malvales"
"Eremurus robustus","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Festuca valesiaca","Plantae",NA,"Magnoliopsida","Poales"
"Picea schrenkiana","Plantae","Streptophyta","Pinopsida",NA
"Medicago sativa","Plantae",NA,"Magnoliopsida","Fabales"
"Viola collina","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Tulipa kaufmanniana","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Gagea capusii","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Impatiens parviflora","Plantae",NA,"Magnoliopsida","Ericales"
"Caragana turkestanica","Plantae","Streptophyta","Magnoliopsida","Fabales"
"Hordeum bulbosum","Plantae",NA,"Magnoliopsida","Poales"
"Ligularia thomsonii","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Eremurus fuscus",NA,NA,NA,NA
"Crataegus azarolus","Plantae",NA,"Magnoliopsida","Rosales"
"Ulmus androssowii",NA,NA,NA,NA
"Berberis integerrima","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Prangos pabularia","Plantae","Streptophyta","Magnoliopsida","Apiales"
"Inula grandis","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Ribes janczewskii","Plantae","Streptophyta","Magnoliopsida","Saxifragales"
"Aconitum sczukinii","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Fritillaria maximowiczii","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Prunus maackii","Plantae",NA,"Magnoliopsida","Rosales"
"Prunus maximowiczii","Plantae",NA,"Magnoliopsida","Rosales"
"Acer tegmentosum","Plantae","Streptophyta","Magnoliopsida","Sapindales"
"Viola orientalis","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Aralia elata","Plantae",NA,"Magnoliopsida","Apiales"
"Pseudostellaria rigida","Plantae","Streptophyta","Magnoliopsida","Caryophyllales"
"Viola selkirkii","Plantae",NA,"Magnoliopsida","Malpighiales"
"Acer caudatum","Plantae","Streptophyta","Magnoliopsida","Sapindales"
"Pinus koraiensis","Plantae",NA,"Pinopsida","Pinales"
"Clintonia udensis","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Lonicera chrysantha","Plantae",NA,"Magnoliopsida","Dipsacales"
"Spiraea salicifolia","Plantae",NA,"Magnoliopsida","Rosales"
"Taraxacum mongolicum","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Betula costata","Plantae","Streptophyta","Magnoliopsida","Fagales"
"Abies nephrolepis","Plantae","Streptophyta","Pinopsida",NA
"Actinidia kolomikta","Plantae","Streptophyta","Magnoliopsida","Ericales"
"Alnus maximowiczii","Plantae","Streptophyta","Magnoliopsida","Fagales"
"Prunus padus var. pubescens","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Fraxinus mandschurica",NA,NA,NA,NA
"Viola patrinii","Plantae",NA,"Magnoliopsida","Malpighiales"
"Viola sacchalinensis","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Picea jezoensis","Plantae","Streptophyta","Pinopsida",NA
"Euonymus pauciflora",NA,NA,NA,NA
"Aquila clanga","Animalia","Chordata","Aves","Accipitriformes"
"Clangula hyemalis","Animalia","Chordata","Aves","Anseriformes"
"Viburnum lantana","Plantae",NA,"Magnoliopsida","Dipsacales"
"Tanacetum coccineum","Plantae",NA,"Magnoliopsida","Asterales"
"Fragaria Ã ananassa",NA,NA,NA,NA
"Elaeagnus commutata","Plantae",NA,"Magnoliopsida","Rosales"
"Lathyrus frolovii",NA,NA,NA,NA
"Crepis sibirica","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Ribes spicatum","Plantae",NA,"Magnoliopsida","Saxifragales"
"Crepis lyrata","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Lathyrus gmelinii","Plantae","Streptophyta","Magnoliopsida","Fabales"
"Stellaria bungeana s. str.",NA,NA,NA,NA
"Crocus korolkowii","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Crocus sativus","Plantae",NA,"Magnoliopsida","Asparagales"
"Iris magnifica","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Iris Iris korolkowii",NA,NA,NA,NA
"Iris Iris austrotschatkalica",NA,NA,NA,NA
"Iris svetlanae","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Moraea sisyrinchium","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Iris orchioides","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Iris nicolai","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Juno Juno waryleyensis",NA,NA,NA,NA
"Iris alberti","Animalia","Arthropoda","Insecta","Hymenoptera"
"Iris vicaria","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Iris maracandica","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Iris halophila","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Iris stolonifera","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Sibiraea laevigata","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Trollius altaicus","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Nymphaea candida","Plantae","Streptophyta","Magnoliopsida","Nymphaeales"
"Tussilago officinalis",NA,NA,NA,NA
"Philadelphus coronarius","Plantae",NA,"Magnoliopsida","Cornales"
"Valeriana wolgensis",NA,NA,NA,NA
"Salix holosericea",NA,NA,NA,NA
"Senecio nemorensis","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Ligularia sibirica","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Hypericum maculatum","Plantae",NA,"Magnoliopsida","Malpighiales"
"Rhodiola rosea","Plantae",NA,"Magnoliopsida","Saxifragales"
"Ribes scandicum",NA,NA,NA,NA
"Gagea fragifera","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Crepis paludosa","Plantae",NA,"Magnoliopsida","Asterales"
"Geranium albiflorum",NA,NA,NA,NA
"Myosotis sylvatica","Plantae",NA,"Magnoliopsida","Boraginales"
"Anemonidium narcissiflorum",NA,NA,NA,NA
"Astragalus Astragalus testiculatus",NA,NA,NA,NA
"Psephellus Psephellus carbonatus",NA,NA,NA,NA
"Euphorbia Euphorbia zhiguliensis",NA,NA,NA,NA
"Gypsophila Gypsophila zhegulensis",NA,NA,NA,NA
"Alyssum lenense","Plantae",NA,"Magnoliopsida","Brassicales"
"Krascheninnikovia ceratoides","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Valeriana tuberosa","Plantae","Streptophyta","Magnoliopsida","Dipsacales"
"Thymus guberlinensis",NA,NA,NA,NA
"Gypsophila altissima","Plantae","Streptophyta","Magnoliopsida","Caryophyllales"
"Hedysarum grandiflorum","Plantae","Streptophyta","Magnoliopsida","Fabales"
"Caragana frutex","Plantae",NA,"Magnoliopsida","Fabales"
"Dianthus capitatus","Plantae","Streptophyta","Magnoliopsida","Caryophyllales"
"Aster alpinus","Plantae",NA,"Magnoliopsida","Asterales"
"Lomelosia isetensis",NA,NA,NA,NA
"Elymus Elymus lolioides",NA,NA,NA,NA
"Galatella villosa","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Pimpinella tragium","Plantae","Streptophyta","Magnoliopsida","Apiales"
"Linaria genistifolia","Plantae",NA,"Magnoliopsida","Lamiales"
"Astragalus zingeri","Plantae","Streptophyta","Magnoliopsida","Fabales"
"Onosma simplicissima","Plantae","Streptophyta","Magnoliopsida","Boraginales"
"Iris pumila","Plantae",NA,"Magnoliopsida","Asparagales"
"Vincetoxicum hirundinaria","Plantae",NA,"Magnoliopsida","Gentianales"
"Clausia aprica","Plantae","Streptophyta","Magnoliopsida","Brassicales"
"Potentilla incana","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Echinops ruthenicus","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Centaurea Centaurea ruthenica",NA,NA,NA,NA
"Prunus tenella","Plantae",NA,"Magnoliopsida","Rosales"
"Ephedra distachya","Plantae",NA,"Gnetopsida","Ephedrales"
"Taraxacum officinale","Plantae",NA,NA,NA
"Viola praemorsa","Plantae",NA,NA,NA
"Delphinium nuttallianum","Plantae",NA,NA,NA
"Boechera stricta","Plantae",NA,NA,NA
"Androsace septentrionalis","Plantae",NA,NA,NA
"Lathyrus leucanthus","Plantae",NA,NA,NA
"Eriogonum umbellatum","Plantae",NA,NA,NA
"Eremogone congesta","Plantae",NA,NA,NA
"Potentilla hippiana","Plantae",NA,NA,NA
"Ipomopsis aggregata","Plantae",NA,NA,NA
"Heterotheca villosa","Plantae",NA,NA,NA
"Erigeron speciosus","Plantae",NA,NA,NA
"Polygonum douglasii","Plantae",NA,NA,NA
"Mahonia repens","Plantae",NA,NA,NA
"Eriogonum subalpinum","Plantae",NA,NA,NA
"Vicia americana","Plantae",NA,NA,NA
"Hydrophyllum capitatum","Plantae",NA,NA,NA
"Amelanchier alnifolia","Plantae",NA,NA,NA
"Potentilla pulcherrima","Plantae",NA,NA,NA
"Mertensia fusiformis","Plantae",NA,NA,NA
"Senecio integerrimus","Plantae",NA,NA,NA
"Helianthella quinquenervis","Plantae",NA,NA,NA
"Erigeron flagellaris","Plantae",NA,NA,NA
"Amerosedum lanceolatum","Plantae",NA,NA,NA
"Erysimum capitatum","Plantae",NA,NA,NA
"Castilleja linariifolia","Plantae",NA,NA,NA
"Galium septentrionale","Plantae",NA,NA,NA
"Mertensia ciliata","Plantae",NA,NA,NA
"Pentaphylloides floribunda","Plantae",NA,NA,NA
"Dugaldia hoopesii","Plantae",NA,NA,NA
"Anticlea elegans","Plantae",NA,NA,NA
"Erigeron coulteri","Plantae",NA,NA,NA
"Solidago multiradiata","Plantae",NA,NA,NA
"Aconitum columbianum","Plantae",NA,NA,NA
"Ligusticum porteri","Plantae",NA,NA,NA
"Pseudocymopterus montanus","Plantae",NA,NA,NA
"Aquilegia coerulea","Plantae",NA,NA,NA
"Castilleja sulphurea","Plantae",NA,NA,NA
"Erythronium grandiflorum","Plantae",NA,NA,NA
"Valeriana occidentalis","Plantae",NA,NA,NA
"Ranunculus inamoenus","Plantae",NA,NA,NA
"Draba aurea","Plantae",NA,NA,NA
"Hydrophyllum fendleri","Plantae",NA,NA,NA
"Descurainia incana","Plantae",NA,NA,NA
"Tolmachevia integrifolia","Plantae",NA,NA,NA
"Geranium richardsonii","Plantae",NA,NA,NA
"Delphinium barbeyi","Plantae",NA,NA,NA
"Pyrrocoma crocea","Plantae",NA,NA,NA
"Ligularia bigelovii","Plantae",NA,NA,NA
"Thalictrum fendleri","Plantae",NA,NA,NA
"Pneumonanthe parryi","Plantae",NA,NA,NA
"Cardamine cordifolia","Plantae",NA,NA,NA
"Heracleum sphondylium","Plantae",NA,NA,NA
"Campanula rotundifolia","Plantae",NA,NA,NA
"Lomatium dissectum","Plantae",NA,NA,NA
"Paxistima myrsinites","Plantae",NA,NA,NA
"Calochortus gunnisonii","Plantae",NA,NA,NA
"Claytonia lanceolata","Plantae",NA,NA,NA
"Dodecatheon pulchellum","Plantae",NA,NA,NA
"Maianthemum stellatum","Plantae",NA,NA,NA
"Valeriana edulis","Plantae",NA,NA,NA
"Noccaea fendleri","Plantae",NA,NA,NA
"Cirsium sp.","Plantae",NA,NA,NA
"Symphyotrichum foliaceum","Plantae",NA,NA,NA
"Fragaria virginiana","Plantae",NA,NA,NA
"Adenolinum lewisii","Plantae",NA,NA,NA
"Achillea millefolium","Plantae",NA,NA,NA
"Lupinus bakeri","Plantae",NA,NA,NA
"Collomia linearis","Plantae",NA,NA,NA
"Carex sp.","Plantae",NA,NA,NA
"Oligosporus dracunculus","Plantae",NA,NA,NA
"Seriphidium tridentata","Plantae",NA,NA,NA
"Heliomeris multiflora","Plantae",NA,NA,NA
"Agoseris glauca","Plantae",NA,NA,NA
"Bromelica spectabilis","Plantae",NA,NA,NA
"Poa pratensis","Plantae",NA,NA,NA
"Carex geyeri","Plantae",NA,NA,NA
"Poa tracyi","Plantae",NA,NA,NA
"Polygonum aviculare","Plantae",NA,NA,NA
"Bromopsis inermis","Plantae",NA,NA,NA
"Festuca thurberi","Plantae",NA,NA,NA
"Achnatherum lettermanii","Plantae",NA,NA,NA
"Antennaria pulcherrima","Plantae",NA,NA,NA
"Bromopsis pumpelliana","Plantae",NA,NA,NA
"Elymus trachycaulus","Plantae",NA,NA,NA
"Trisetum spicatum","Plantae",NA,NA,NA
"Lupinus argenteus","Plantae",NA,NA,NA
"Osmorhiza occidentalis","Plantae",NA,NA,NA
"Limnorchis hyperborea","Plantae",NA,NA,NA
"Stellaria longifolia","Plantae",NA,NA,NA
"Oxypolis fendleri","Plantae",NA,NA,NA
"Gentianopsis thermalis","Plantae",NA,NA,NA
"Swertia perennis","Plantae",NA,NA,NA
"Acer campestre","Plantae",NA,NA,NA
"Acer platanoides","Plantae",NA,NA,NA
"Acer pseudoplatanus","Plantae",NA,NA,NA
"Achillea millefolium","Plantae",NA,NA,NA
"Achillea ptarmica","Plantae",NA,NA,NA
"Adoxa moschatellina","Plantae",NA,NA,NA
"Aegopodium podagraria","Plantae",NA,NA,NA
"Aesculus hippocastanum","Plantae",NA,NA,NA
"Aethusa cynapium","Plantae",NA,NA,NA
"Agrimonia eupatoria","Plantae",NA,NA,NA
"Ajuga reptans","Plantae",NA,NA,NA
"Alliaria petiolata","Plantae",NA,NA,NA
"Alnus glutinosa","Plantae",NA,NA,NA
"Alopecurus geniculatus","Plantae",NA,NA,NA
"Alopecurus myosuroides","Plantae",NA,NA,NA
"Alopecurus pratensis","Plantae",NA,NA,NA
"Anacamptis pyramidalis","Plantae",NA,NA,NA
"Anagallis arvensis","Plantae",NA,NA,NA
"Anisantha sterilis","Plantae",NA,NA,NA
"Anthoxanthum odoratum","Plantae",NA,NA,NA
"Anthriscus sylvestris","Plantae",NA,NA,NA
"Antirrhinum majus","Plantae",NA,NA,NA
"Arabidopsis thaliana","Plantae",NA,NA,NA
"Arctium lappa","Plantae",NA,NA,NA
"Arctium minus","Plantae",NA,NA,NA
"Armoracia rusticana","Plantae",NA,NA,NA
"Arrhenatherum elatius","Plantae",NA,NA,NA
"Artemisia vulgaris","Plantae",NA,NA,NA
"Asperula cynanchica","Plantae",NA,NA,NA
"Aster novi-belgii","Plantae",NA,NA,NA
"Atriplex prostrata","Plantae",NA,NA,NA
"Atropa bella-donna","Plantae",NA,NA,NA
"Avena fatua","Plantae",NA,NA,NA
"Avena sativa","Plantae",NA,NA,NA
"Ballota nigra","Plantae",NA,NA,NA
"Barbarea vulgaris","Plantae",NA,NA,NA
"Betula pendula","Plantae",NA,NA,NA
"Brachypodium pinnatum","Plantae",NA,NA,NA
"Brachypodium sylvaticum","Plantae",NA,NA,NA
"Brassica rapa","Plantae",NA,NA,NA
"Briza media","Plantae",NA,NA,NA
"Bromus erectus","Plantae",NA,NA,NA
"Bromus hordeaceus","Plantae",NA,NA,NA
"Bryonia dioica","Plantae",NA,NA,NA
"Buddleja davidii","Plantae",NA,NA,NA
"Calluna vulgaris","Plantae",NA,NA,NA
"Caltha palustris","Plantae",NA,NA,NA
"Calystegia sepium","Plantae",NA,NA,NA
"Calystegia silvatica","Plantae",NA,NA,NA
"Campanula glomerata","Plantae",NA,NA,NA
"Campanula trachelium","Plantae",NA,NA,NA
"Cardamine hirsuta","Plantae",NA,NA,NA
"Cardamine pratensis","Plantae",NA,NA,NA
"Carduus acanthoides","Plantae",NA,NA,NA
"Carduus nutans","Plantae",NA,NA,NA
"Carex acutiformis","Plantae",NA,NA,NA
"Carex caryophyllea","Plantae",NA,NA,NA
"Carex disticha","Plantae",NA,NA,NA
"Carex hirta","Plantae",NA,NA,NA
"Carex panicea","Plantae",NA,NA,NA
"Carex paniculata","Plantae",NA,NA,NA
"Carex sylvatica","Plantae",NA,NA,NA
"Carlina vulgaris","Plantae",NA,NA,NA
"Carpinus betulus","Plantae",NA,NA,NA
"Centaurea nigra","Plantae",NA,NA,NA
"Centaurea scabiosa","Plantae",NA,NA,NA
"Cephalanthera damasonium","Plantae",NA,NA,NA
"Cerastium fontanum","Plantae",NA,NA,NA
"Cerastium glomeratum","Plantae",NA,NA,NA
"Cerastium tomentosum","Plantae",NA,NA,NA
"Chaerophyllum temulentum","Plantae",NA,NA,NA
"Chamaenerion angustifolium","Plantae",NA,NA,NA
"Chelidonium majus","Plantae",NA,NA,NA
"Chenopodium album","Plantae",NA,NA,NA
"Chrysosplenium oppositifolium","Plantae",NA,NA,NA
"Cicerbita macrophylla","Plantae",NA,NA,NA
"Cichorium intybus","Plantae",NA,NA,NA
"Circaea lutetiana","Plantae",NA,NA,NA
"Cirsium acaule","Plantae",NA,NA,NA
"Cirsium arvense","Plantae",NA,NA,NA
"Cirsium dissectum","Plantae",NA,NA,NA
"Cirsium eriophorum","Plantae",NA,NA,NA
"Cirsium vulgare","Plantae",NA,NA,NA
"Clematis vitalba","Plantae",NA,NA,NA
"Clinopodium vulgare","Plantae",NA,NA,NA
"Coeloglossum viride","Plantae",NA,NA,NA
"Conium maculatum","Plantae",NA,NA,NA
"Conopodium majus","Plantae",NA,NA,NA
"Convolvulus arvensis","Plantae",NA,NA,NA
"Conyza canadensis","Plantae",NA,NA,NA
"Cornus sanguinea","Plantae",NA,NA,NA
"Corylus avellana","Plantae",NA,NA,NA
"Crepis biennis","Plantae",NA,NA,NA
"Crepis capillaris","Plantae",NA,NA,NA
"Crepis vesicaria","Plantae",NA,NA,NA
"Cymbalaria muralis","Plantae",NA,NA,NA
"Cynosurus cristatus","Plantae",NA,NA,NA
"Dactylorhiza fuchsii","Plantae",NA,NA,NA
"Dactylorhiza incarnata","Plantae",NA,NA,NA
"Dactylorhiza praetermissa","Plantae",NA,NA,NA
"Daphne laureola","Plantae",NA,NA,NA
"Daphne mezereum","Plantae",NA,NA,NA
"Daucus carota","Plantae",NA,NA,NA
"Deschampsia cespitosa","Plantae",NA,NA,NA
"Deschampsia flexuosa","Plantae",NA,NA,NA
"Digitalis purpurea","Plantae",NA,NA,NA
"Dryopteris dilatata","Plantae",NA,NA,NA
"Dryopteris filix-mas","Plantae",NA,NA,NA
"Elymus caninus","Plantae",NA,NA,NA
"Elytrigia repens","Plantae",NA,NA,NA
"Epilobium ciliatum","Plantae",NA,NA,NA
"Epilobium hirsutum","Plantae",NA,NA,NA
"Epilobium montanum","Plantae",NA,NA,NA
"Epilobium parviflorum","Plantae",NA,NA,NA
"Epipactis helleborine","Plantae",NA,NA,NA
"Epipactis purpurata","Plantae",NA,NA,NA
"Equisetum arvense","Plantae",NA,NA,NA
"Equisetum palustre","Plantae",NA,NA,NA
"Equisetum telmateia","Plantae",NA,NA,NA
"Erigeron acer","Plantae",NA,NA,NA
"Erysimum cheiri","Plantae",NA,NA,NA
"Euonymus europaeus","Plantae",NA,NA,NA
"Eupatorium cannabinum","Plantae",NA,NA,NA
"Euphorbia amygdaloides","Plantae",NA,NA,NA
"Euphorbia exigua","Plantae",NA,NA,NA
"Euphorbia helioscopia","Plantae",NA,NA,NA
"Fagus sylvatica","Plantae",NA,NA,NA
"Fallopia convolvulus","Plantae",NA,NA,NA
"Fallopia japonica","Plantae",NA,NA,NA
"Festuca arundinacea","Plantae",NA,NA,NA
"Festuca gigantea","Plantae",NA,NA,NA
"Festuca pratensis","Plantae",NA,NA,NA
"Festuca rubra","Plantae",NA,NA,NA
"Filipendula ulmaria","Plantae",NA,NA,NA
"Filipendula vulgaris","Plantae",NA,NA,NA
"Fumaria officinalis","Plantae",NA,NA,NA
"Galanthus nivalis","Plantae",NA,NA,NA
"Galega officinalis","Plantae",NA,NA,NA
"Galeopsis tetrahit","Plantae",NA,NA,NA
"Galium aparine","Plantae",NA,NA,NA
"Galium odoratum","Plantae",NA,NA,NA
"Galium saxatile","Plantae",NA,NA,NA
"Galium uliginosum","Plantae",NA,NA,NA
"Gentianella amarella","Plantae",NA,NA,NA
"Gentianella germanica","Plantae",NA,NA,NA
"Geranium dissectum","Plantae",NA,NA,NA
"Geranium phaeum","Plantae",NA,NA,NA
"Geranium pyrenaicum","Plantae",NA,NA,NA
"Geranium robertianum","Plantae",NA,NA,NA
"Geranium rotundifolium","Plantae",NA,NA,NA
"Geum urbanum","Plantae",NA,NA,NA
"Glechoma hederacea","Plantae",NA,NA,NA
"Glyceria fluitans","Plantae",NA,NA,NA
"Glyceria maxima","Plantae",NA,NA,NA
"Gymnadenia conopsea","Plantae",NA,NA,NA
"Hedera helix","Plantae",NA,NA,NA
"Helianthemum nummularium","Plantae",NA,NA,NA
"Helictotrichon pratense","Plantae",NA,NA,NA
"Helictotrichon pubescens","Plantae",NA,NA,NA
"Helleborus viridis","Plantae",NA,NA,NA
"Heracleum sphondylium","Plantae",NA,NA,NA
"Hesperis matronalis","Plantae",NA,NA,NA
"Hieracium sabaudum","Plantae",NA,NA,NA
"Hordeum murinum","Plantae",NA,NA,NA
"Hordeum secalinum","Plantae",NA,NA,NA
"Hordeum vulgare","Plantae",NA,NA,NA
"Hyacinthoides sp.","Plantae",NA,NA,NA
"Hypericum hirsutum","Plantae",NA,NA,NA
"Hypericum perforatum","Plantae",NA,NA,NA
"Hypericum pulchrum","Plantae",NA,NA,NA
"Hypericum tetrapterum","Plantae",NA,NA,NA
"Hypochaeris radicata","Plantae",NA,NA,NA
"Ilex aquifolium","Plantae",NA,NA,NA
"Impatiens glandulifera","Plantae",NA,NA,NA
"Impatiens parviflora","Plantae",NA,NA,NA
"Inula conyzae","Plantae",NA,NA,NA
"Iris pseudacorus","Plantae",NA,NA,NA
"Juncus effusus","Plantae",NA,NA,NA
"Juncus inflexus","Plantae",NA,NA,NA
"Juncus subnodulosus","Plantae",NA,NA,NA
"Knautia arvensis","Plantae",NA,NA,NA
"Koeleria macrantha","Plantae",NA,NA,NA
"Lactuca serriola","Plantae",NA,NA,NA
"Lamiastrum galeobdolon","Plantae",NA,NA,NA
"Lamium album","Plantae",NA,NA,NA
"Lapsana communis","Plantae",NA,NA,NA
"Larix decidua","Plantae",NA,NA,NA
"Lathyrus latifolius","Plantae",NA,NA,NA
"Lathyrus pratensis","Plantae",NA,NA,NA
"Leontodon autumnalis","Plantae",NA,NA,NA
"Leontodon hispidus","Plantae",NA,NA,NA
"Lepidium draba","Plantae",NA,NA,NA
"Leucanthemum vulgare","Plantae",NA,NA,NA
"Ligustrum vulgare","Plantae",NA,NA,NA
"Linaria repens","Plantae",NA,NA,NA
"Linaria vulgaris","Plantae",NA,NA,NA
"Linum catharticum","Plantae",NA,NA,NA
"Listera ovata","Plantae",NA,NA,NA
"Lonicera periclymenum","Plantae",NA,NA,NA
"Lotus corniculatus","Plantae",NA,NA,NA
"Lotus pedunculatus","Plantae",NA,NA,NA
"Lunaria annua","Plantae",NA,NA,NA
"Luzula campestris","Plantae",NA,NA,NA
"Luzula pilosa","Plantae",NA,NA,NA
"Lychnis flos-cuculi","Plantae",NA,NA,NA
"Lycopus europaeus","Plantae",NA,NA,NA
"Lythrum salicaria","Plantae",NA,NA,NA
"Mahonia aquifolium","Plantae",NA,NA,NA
"Malus domestica","Plantae",NA,NA,NA
"Malva moschata","Plantae",NA,NA,NA
"Malva sylvestris","Plantae",NA,NA,NA
"Matricaria discoidea","Plantae",NA,NA,NA
"Matricaria recutita","Plantae",NA,NA,NA
"Medicago lupulina","Plantae",NA,NA,NA
"Melica uniflora","Plantae",NA,NA,NA
"Melilotus altissimus","Plantae",NA,NA,NA
"Melilotus officinalis","Plantae",NA,NA,NA
"Mentha aquatica","Plantae",NA,NA,NA
"Mentha arvensis","Plantae",NA,NA,NA
"Mercurialis perennis","Plantae",NA,NA,NA
"Milium effusum","Plantae",NA,NA,NA
"Moehringia trinervia","Plantae",NA,NA,NA
"Mycelis muralis","Plantae",NA,NA,NA
"Myosotis arvensis","Plantae",NA,NA,NA
"Myosotis scorpioides","Plantae",NA,NA,NA
"Myosotis sylvatica","Plantae",NA,NA,NA
"Neottia nidus-avis","Plantae",NA,NA,NA
"Odontites verna","Plantae",NA,NA,NA
"Onobrychis viciifolia","Plantae",NA,NA,NA
"Ononis repens","Plantae",NA,NA,NA
"Ophrys apifera","Plantae",NA,NA,NA
"Origanum vulgare","Plantae",NA,NA,NA
"Oxalis acetosella","Plantae",NA,NA,NA
"Papaver dubium","Plantae",NA,NA,NA
"Papaver rhoeas","Plantae",NA,NA,NA
"Papaver somniferum","Plantae",NA,NA,NA
"Pastinaca sativa","Plantae",NA,NA,NA
"Pentaglottis sempervirens","Plantae",NA,NA,NA
"Persicaria lapathifolia","Plantae",NA,NA,NA
"Persicaria maculosa","Plantae",NA,NA,NA
"Petasites hybridus","Plantae",NA,NA,NA
"Phleum bertolonii","Plantae",NA,NA,NA
"Phleum pratense","Plantae",NA,NA,NA
"Phragmites australis","Plantae",NA,NA,NA
"Picris hieracioides","Plantae",NA,NA,NA
"Pilosella officinarum","Plantae",NA,NA,NA
